あ
あーけーど アーケード
おでっせい オデッセイ
おてふき お手拭き
おとこいっぴき 男一匹
おとしあな 落とし穴
おとしだま お年玉
おとしぶた 落としぶた
おとしもの 落とし物
おとながい 大人買い
おとなのじじょう 大人の事情
おとなをなめんな 大人をなめんな
おとめざ おとめ座
おどりぐい おどり食い
おとりそうさ おとり捜査
おなやみそうだん お悩み相談
おにがしま 鬼ヶ島
おにがわら 鬼がわら
おにぎり
おにび 鬼火
おねうち お値打ち
おねえさん お姉さん
おの 斧
おのおのがた
おはぎ
おばけ お化け
おばさん
おはじき
おはらいばこ お払い箱
おぶらーと オブラート
おぺら オペラ
おぼれるものはわらをもつかむ 溺れるものは藁をもつかむ
おまかせこーす おまかせコース
おまけ
おまもり
おみくじ
おみやげ
おめでとう
おもいつき 思い付き
おもしろはんぶん 面白半分
おもちゃ
おもり 重り
おやしらず 親知らず
おやのこころこしらず 親の心子知らず
おやゆずり 親ゆずり
おらんうーたん オランウータン
おりーぶ オリーブ
おりこうさん お利口さん
おりひめ 織姫
おりんぴっく オリンピック
おれおれ詐欺
おれさま 俺さま
おわび お詫び
おわりよければすべてよし 終わりよければすべてよし
おんえあ オンエア
おんがく 音楽
おんざろっく オンザロック
おんしゃ 恩赦
おんすいぷーる 温水プール
おんせいごうせい 音声合成
おんせん 温泉
おんせんたまご 温泉卵
おんぞうし 御曹司
おんそく 音速
おんち 音痴
おんなのいっしょう 女の一生
おんぷ 音符
おんらいん オンライン
おんをあだでかえす 恩を仇で返す
か 蚊
が 蛾
かーおーでぃお カーオーディオ
かーそる カーソル
かーてん カーテン
かーとりっじ カートリッジ
かーぺっと カーペット
かーぼんこぴー カーボンコピー
かいおうせい 海王星
かいきいわい 快気祝い
かいこ 解雇
かいさつぐち 改札口
かいしんげき 快進撃
かいしんのいちげき 会心の一撃
かいせい 快晴
かいぜんのよち 改善の余地
かいぞく 海賊
がいちゅう 害虫
かいちゅうでんとう 懐中電灯
かいていかざん 海底火山
かいていけーぶる 海底ケーブル
かいてんもくば 回転木馬
かいとう 解凍
がいとう 街灯
がいとうえんぜつ 街頭演説
がいとうしゃなし 該当者なし
かいはつ 開発チーム
かいめつ 壊滅
かいものかご 買い物カゴ
かいりき 怪力
かうんせらー カウンセラー
かうんたーぱんち カウンターパンチ
かえしん 替え芯
かえりうち 返り討ち
かえりみち 帰り道
カエル
かえんじごく 火炎地獄
かえんほうしゃき 火炎放射器
かおぱす 顔パス
かおもじ 顔文字
かがいしゃ 加害者
カカオ
ががく 雅楽
かかくこうしょう 価格交渉
かがみもち 鏡もち
かかりちょう 係長
がき 餓鬼
かぎ 鍵
かぎあな 鍵穴
かきごおり かき氷
かきぞめ 書初め
かきのもとのひとまろ 柿本人麻呂
カキフライ
かきんあいてむ 課金アイテム
かくがり 角刈り
かくごしろ 覚悟しろ
かくしかめら 隠しカメラ
かくしげい 隠し芸
かくだいず 拡大図
カクテル
かくとうげーむ 格闘ゲーム
がくふ 楽譜
がくぶち 額ぶち
かくぶんれつ 核分裂
かくりつ 確率
かげ 影
かけいぼ 家計簿
かげえ 影絵
かげぐち 陰口
がけっぷち 崖っぷち
かけねなし 掛け値なし
かげむしゃ 影武者
かげろう
かけ算
かさ 傘
かさいりゅう 火砕流
かざり 飾り
かざん 火山
かざんばい 火山灰
かしおぺあ カシオペア
かじつ 果実
カジノ
かしぼーと 貸しボート
かじゅう 果汁
かじょうがき 箇条書き
カスタネット
カステラ
ガスバーナー
かすり傷
ガス管
ガス欠
ガス爆発
かせい 火星
かせぎがしら 稼ぎ頭
かせつ 仮説
カセットテープ
かそ 過疎
かそうつうか 仮想通貨
かぞえ歌
かそくど 加速度
ガソリン
かた 肩
かたがみ 型紙
かたこり 肩こり
カタツムリ
かたぱっど 肩パッド
かたまり
かたむき 傾き
かたりんそうこう 片輪走行
カタログ雑誌
かちかち山
かつ 喝！
かつお節
がっき 楽器
がっきゅうかい 学級会
カッコウ
かつじ 活字
かっしゃ 滑車
がっしょうがい 合唱隊
がってんしょうちのすけ 合点承知の助
カッパ
カップラーメン
かていきょうし 家庭教師
かとりせんこう 蚊取り線香
かなしきがんぐ 悲しき玩具
カナダ
かなづち
カナブン
かにあるき カニ歩き
かにかま
かにしょうぐん かに将軍
がにまた
カヌー
ガネーシャ
かねのきれめがえんのきれめ 金の切れ目が縁の切れ目
かのうせい 可能性
カバ
カバー曲
かはんすう 過半数
カピバラ
カフェイン
かぶき 歌舞伎
カプセル
カブトムシ
かふんしょう 花粉症
かへい 貨幣
かべうち 壁打ち
かべがみ 壁紙
かぼちゃ
かまいたち
かまめし 釜めし
がまんたいかい 我慢大会
かみ 紙
かみしばい 紙芝居
カミソリ負け
かみなり 雷
かみのみえざるて 神の見えざる手
かみふうせん 紙風船
かめ 亀
カメラアングル
かめんぶとうかい 仮面舞踏会
かもつれっしゃ 貨物列車
かもねぎ 鴨ネギ
かやく 火薬
がようし 画用紙
かようび 火曜日
からくち 辛口
カラス
ガラス
からてちょっぷ 空手チョップ
からぶり 空振り
カラフル
から揚げ
がりがりくん ガリガリ君
カリキュラム
かりしゃくほう 仮釈放
カリスマ
かりそめのこい かりそめの恋
かりてきたねこ 借りてきた猫
かりよやく 仮予約
かるいし 軽石
カルーアミルク
カルシウム
カルマ
ガレージ
カレーライス
がれき
かれは 枯れ葉
カロリー
かわいい
かわぐつ 革靴
かわじゃん 革ジャン
かわぞこ 川底
かわら 河原
がんえん 岩塩
かんおけ 棺おけ
かんかつがい 管轄外
カンガルー
かんきだん 寒気団
かんけつせん 間欠泉
かんこうばす 観光バス
かんこーひー 缶コーヒー
かんし 漢詩
がんじがらめ
かんしゃかんげき 感謝感激
かんしゃさい 感謝祭
かんじんちょう 勧進帳
かんすう 関数
かんぜい 関税
かんせいのほうそく 慣性の法則
かんせつ 関節
かんせつしょうめい 間接照明
かんぜんじあい 完全試合
かんぜんちょうあく 勧善懲悪
かんぜんはんざい 完全犯罪
かんぜんよやくせい 完全予約制
かんぞう 肝臓
かんたんせっとあっぷ 簡単セットアップ
かんちゅうすいえい 寒中水泳
かんつう 貫通
かんづめ 缶詰
かんでん 感電
かんな
かんにんぶくろ 堪忍袋
かんのんぼさつ 観音菩薩
かんぱい 乾杯
かんばっじ 缶バッジ
がんばり
かんばん 看板
かんばんむすめ 看板娘
カンフー
かんぶくらす 幹部クラス
かんぷなきまで 完膚なきまで
ガンマン
かんみりょう 甘味料
かんらんしゃ 観覧車
キーボード
きいろ 黄色
キウイフルーツ
きおくそうしつ 記憶喪失
きかいぶんめい 機械文明
きかくてん 企画展
ギガバイト
きかんしえん 気管支炎
きかんじゅう 機関銃
ぎきょうだい 義兄弟
きく 菊
きご 季語
きこり 木こり
ギザギザ
きしどう 騎士道
きしみ
きしゃかいけん 記者会見
ぎじゅつかくしん 技術革新
きしょう 起床
きしょうえいせい 気象衛生
きじょうのくうろん 机上の空論
ぎじろく 議事録
ぎしんあんき 疑心暗鬼
きせいちゅう 寄生虫
ぎせいふらい 犠牲フライ
きせき 奇跡
きせつかん 季節感
キセル乗車
きぞく 貴族
きぞんのがいねん 既存の概念
ギター
ぎたい 擬態
きたまくら 北まくら
キック
キックボクシング
きっさてん 喫茶店
キツツキ
きつねのよめいり 狐の嫁入り
きっぷ 切符
きてき 汽笛
きどくするー 既読スルー
きな粉
きねんこうか 記念硬貨
きのう
きのぼり 木登り
きば 牙
きばみ 黄ばみ
ギブアップ
ギプス
きぼう 希望
きまぐれ 気紛れ
きまりて 決まり手
きまりもんく 決まり文句
きみつぶんしょ 機密文書
きみのなは 君の名は
キムチ
きもだめし 肝だめし
ぎゃくてんしょうり 逆転勝利
ぎゃくにかんがえるんだ 逆に考えるんだ
きゃくほんか 脚本家
ぎゃくりゅう 逆流
キャッチアンドリリース
キャッチセールス
キャッチャー
キャビア
キャベツ
キャラバン
キャラメル
ギャル
キャンピングカー
キャンプ
ギャンブル
キャンペーン
きゅーあーるこーど QRコード
きゅうかーぶ 急カーブ
きゅうかいうら 九回裏
きゅうかく 嗅覚
きゅうきゅうしゃ 救急車
きゅうきょくのあれ 究極のアレ
きゅうけいきかん 休憩時間
きゅうけつき 吸血鬼
きゅうこん 球根
きゅうしき 旧式
きゅうじゅうきゅうぱーせんと 99%
きゅうじょうしょう 急上昇
きゅうすいしゃ 給水車
きゅうせいしゅ 救世主
きゅうでん 宮殿
きゅうてんちょっか 急転直下
きゅうどう 弓道
ぎゅうどん 牛丼
ぎゅうにく 牛肉
ぎゅうにゅう 牛乳
きゅうはんどる 急ハンドル
キューピッド
きゅうぶれーき 急ブレーキ
キュウリ
きょうき 凶器
ぎょうざ
きょうしゃ 香車
きょうじゅ 教授
きょうせいしゅうりょう 強制終了
きょうせいろうどう 強制労働
きょうそ 教祖
きょうだいぶね 兄弟船
きょうどうくみあい 協同組合
きょうはなんのひ 今日は何の日
きょうりゅう 恐竜
きょうりょくぷれい 協力プレイ
ぎょぎょう 漁業
きょくめい 曲名
きょじんのほし 巨人の星
きょすう 虚数
きょせい 虚勢
ぎょふのり 漁夫の利
きょようりょう 許容量
きら星
きりかぶ 切り株
きりきず 切り傷
ぎりぎり
きりくち 切り口
きりさめ 霧雨
ギリシャ
ぎりしゃしんわ ギリシャ神話
きりとりせん 切り取り線
きりふきき 霧吹き器
キリン
キログラム
ギロチン
きんいろ 金色
ぎんいろ 銀色
ぎんが 銀河
きんがしんねん 謹賀新年
ぎんがていこく 銀河帝国
ぎんがみ 銀紙
きんがん 近眼
きんきゅうかいぎ 緊急会議
きんぎょすくい 金魚すくい
きんぎんざいほう 金銀財宝
ぎんこうこうざ 銀行口座
きんこんしき 金婚式
きんしんぞうお 近親憎悪
きんせい 金星
きんせんかんかく 金銭感覚
きんたろう 金太郎
きんとれ 筋トレ
ぎんなん
きんにく 筋肉
きんののべぼう 金の延べ棒
きんぱつ 金髪
きんぴらごぼう
きんめだる 金メダル
キンモクセイ
きんようび 金曜日
くい 杭
クイズ
くうきいれ 空気入れ
くうきせいじょうき 空気清浄機
くうこう 空港
ぐうぞうすうはい 偶像崇拝
くうちゅうていえん 空中庭園
グーテンベルク
くうはく 空白
くうふく 空腹
くがつ 九月
くぎ 釘
くぎょう 苦行
くさ 草
くさいきれ 草いきれ
くさかり 草刈り
くさってもたい 腐っても鯛
くさぶえ 草笛
くさもち 草餅
くさり 鎖
くさり鎌
くされえん 腐れ縁
くじうん くじ運
くしゃおじさん
くしゃみ
くじら
くすくす笑い
くすぐったい
くずてつ クズ鉄
くだもの
くちうつし 口移し
くちこみ 口コミ
くちさけおんな 口裂け女
くちびる
くちべに 口紅
くつした 靴下
くつべら 靴べら
ぐのこっちょう 愚の骨頂
くびわ 首輪
くま 熊
グミキャンディ
くものす くもの巣
くもり 曇り
ぐらぐら
クラゲ
クラシック
くらしのちえ 暮らしの知恵
クラスメイト
グラタン
グラデーション
グランドキャニオン
グランプリ
くり 栗
くりあげ 繰り上げ
クリームパン
クリーンヒット
クリスタル
クリック
クリップ
くるぶし
くるま 車
くるまよい 車酔い
クレープ
クレーム
クレーンゲーム
クレーン車
クレオパトラ
クレジットカード
クレヨン
くろ 黒
クローバー
くろかみ 黒髪
クロスワード
くろねこ 黒猫
くろまじゅつ 黒魔術
クワガタムシ
くわばらくわばら
ぐんか 軍歌
ぐんかんじま 軍艦島
くんせい 燻製
けいかくどおり 計画通り
けいこうしょく 蛍光色
けいざいこうか 経済効果
けいさつかん 警察官
けいさんずく 計算ずく
けいさんちがい 計算違い
けいじじけん 刑事事件
けいじばん 掲示板
けいたいでんわ 携帯電話
げいのうかい 芸能界
けいば 競馬
けいぼう 警棒
けいまとび 桂馬飛び
けいりょうか 軽量化
けいろうのひ 敬老の日
ケーブルテレビ
ゲームオーバー
ゲームセンター
ゲーム理論
ケガの功名
げきから 激辛
げきだん 劇団
げきどう 激動
けしごむ 消しゴム
けしょう 化粧
けずりかす 削りかす
げた 下駄
げだつ 解脱
けたはずれ 桁外れ
けち
ケチャップ
けつあつ 血圧
けつえきがた 血液型
けっかい 結界
けっかんひん 欠陥品
げっこうかめん 月光仮面
けっこん 血痕
けっこんしき 結婚式
けっこんそうだんじょ 結婚相談所
けっさく 傑作
けっしょうせん 決勝戦
げっしょく 月食
けっせきさいばん 欠席裁判
けっとう 決闘
げつめんちゃくりく 月面着陸
げつようび 月曜日
けむり 煙
けもののすうじ 獣の数字
ゲリラ
けんえつ 検閲
けんか 喧嘩
げんかんまっと 玄関マット
けんか両成敗
けんきゅうじょ 研究所
けんきゅうひ 研究費
けんけつ 献血
けんこうでぶんかてきなせいかつ 健康で文化的な生活
けんこうひがい 健康被害
けんこうほうし 兼好法師
けんこくきねんび 建国記念日
げんこつ
げんざい 原罪
げんざいりょう 原材料
けんさく 検索
げんし 原子
げんしじん 原始人
げんじぱい 源氏パイ
げんじものがたり 源氏物語
けんじゃ 賢者
けんじゅう 拳銃
げんしょく 原色
げんせんちょうしゅう 源泉徴収
げんだいあーと 現代アート
げんだいごやく 現代語訳
げんだいようごのきそちしき 現代用語の基礎知識
ケンタウルス
けんちくし 建築士
けんどう 剣道
けんとうし 遣唐使
けんとうはずれ 見当はずれ
げんどうりょく 原動力
げんぺいがっせん 源平合戦
けんぽう 憲法
げんまい 玄米
けんりょくとうそう 権力闘争
コアラ
こいちじかん 小一時間
こいのたきのぼり 鯉の滝登り
こいのぼり
コインゲーム
コインランドリー
こうあつでんりゅう 高圧電流
こういしつ 更衣室
こううん 幸運
こうかいしゅうろく 公開収録
こうかいしょけい 公開処刑
こうかおん 効果音
こうがぶんめい 黄河文明
こうきあつ 高気圧
こうきしん 好奇心
こうきゅうじゅうたくがい 高級住宅街
こうぎょうこうこう 工業高校
こうごうせい 光合成
こうこつもじ 甲骨文字
こうさてん 交差点
こうざん 鉱山
こうざんしょくぶつ 高山植物
こうし 孔子
こうしきじあい 公式試合
こうしゅこうたい 攻守交替
こうしょう 交渉
こうしんきょく 行進曲
こうずい 洪水
こうすいかくりつ 降水確率
こうせいのう 高性能
ごうせいほぞんりょう 合成保存料
こうせんじゅう 光線銃
こうそうびる 高層ビル
ごうとう 強盗
こうむしっこうぼうがい 公務執行妨害
ごうもう 剛毛
ごうもん 拷問
こうりゃくぼん 攻略本
こえだ 小枝
ゴーグル
コーヒー牛乳
コーヒー豆
コーラ
ゴールキーパー
コールドゲーム
ゴールドラッシュ
コオロギ
コーンスープ
こがいしゃ 子会社
ごかっけい 五角形
ごがつにんぎょう 五月人形
ごがつびょう 五月病
こがらし 木枯らし
こきゅう 呼吸
こきんわかしゅう 古今和歌集
こくえいほうそう 国営放送
こくがいついほう 国外追放
こくさい 国債
こくそうちたい 穀倉地帯
こくばん 黒板
こくほう 国宝
こくりつこうえん 国立公園
こぐんふんとう 孤軍奮闘
こけいねんりょう 固形燃料
コケコッコー
こけし
ココナツ
ごごのこうちゃ 午後の紅茶
ごごんぜっく 五言絶句
ござ
こじいん 孤児院
ゴシック体
ごじゅうおんじゅん 五十音順
ごじゅっぽひゃっぽ 五十歩百歩
コショウ
こすう 個数
ごぜんかいぎ 御前会議
ごせんちょうえん 5000兆円
こそだて 子育て
ごたいりく 五大陸
こっかいぎじどう 国会議事堂
こっかいちゅうけい 国会中継
こっかいとしょかん 国会図書館
こっかよさん 国家予算
こっき 国旗
コックピット
こっくりさん
コック帽
こっせつ 骨折
ごった煮
こづつみ 小包
コッペパン
こてんぶんがく 古典文学
ことう 孤島
ゴドーを待ちながら
こどくかん 孤独感
ことしのかんじ 今年の漢字
ことばじり 言葉尻
ことばのあや 言葉のあや
こども 子供
こどもべや 子供部屋
この人を見よ
ごはん
コバンザメ
ごばんめ 碁盤目
コピー機
コブラ
ごふんまえこうどう 5分前行動
ごぼう
ごぼう抜き
こぼれ落ちる
ごみ
こみばこ ゴミ箱
コミュニケーション
ゴミ収集車
ゴム
こむぎこ 小麦粉
ごむふうせん ゴム風船
ゴムボール
こめだわら 米俵
こもり 子守り
こもれび 木漏れ日
